customer_id,age,gender,fico_scores,wallet_share,income_estimate,dti_ratio,average_time_spent(minutes),last_login,phone,ssn,action_performed,fname,lname,email,zip
CUST301488,36,M,428,0.214416597,112882,0.874758432,81,08-07-2017 23:02,7793364908,8887475444,Pay with Tap,James,Rogers,james.rogers@olson.com,112259
CUST235925,36,F,564,0.160260391,101331,0.670255106,48,27-12-2015 04:12,2377129120,7323084732,Pay with Tap,Margaret,Vasquez,margaret.vasquez@day.com,112263
CUST768307,41,M,743,0.080028863,97891,0.663282306,80,15-08-2013 10:16,4589178568,1425823974,Zelle QR Code,Derek,Rivera,derek.rivera@greene.com,112256
CUST854589,18,F,702,0.941966643,112343,0.429730273,39,29-01-2013 18:17,650494074,8475385450,Help Center,Sarah,Campbell,sarah.campbell@reese.com,112257
CUST288657,22,F,649,0.411026145,113523,0.626941097,15,08-04-2019 08:18,9728883573,267725099,Pay with Tap,Amanda,Lara,amanda.lara@downs-young.com,112259
CUST301895,35,F,315,0.992088335,97164,0.790688528,20,02-04-2011 04:59,5236363153,6809263436,Bill Payments,Jennifer,Jones,jennifer.jones@taylor-anderson.com,112262
CUST747228,28,F,724,0.873145174,108038,0.092366208,62,11-04-2018 18:35,8995232999,1918835875,Transaction Statements,Beverly,Gonzalez,beverly.gonzalez@thomas.com,112256
CUST626632,45,F,645,0.771350124,94656,0.939647569,36,15-08-2012 02:27,2333931362,2295650717,Zelle QR Code,Lisa,Gibbs,lisa.gibbs@townsend.com,112255
CUST648137,54,F,470,0.898435692,112199,0.670086718,15,20-12-2011 07:34,5916176340,3581714686,Help Center,Kiara,Duarte,kiara.duarte@bradford.org,112260
CUST499509,36,M,430,0.102420743,111066,0.977855526,24,26-07-2019 23:22,955885263,7099737570,Help Center,John,Lawson,john.lawson@allen.com,112256
CUST164089,32,M,775,0.130273946,96535,0.82738475,48,11-04-2010 07:09,7300372011,6068181069,Easy Lock,Donald,Frey,donald.frey@stevens.net,112257
CUST215330,18,F,472,0.899833103,96709,0.788840699,85,28-07-2013 03:19,7327517357,7672994991,Help Center,Susan,Hall,susan.hall@wolfe.biz,112261
CUST594764,20,F,658,0.25493794,92632,0.895011178,37,10-01-2014 09:55,525476139,1037603771,Transfer Funds,Jocelyn,Perry,jocelyn.perry@walsh-huber.com,112261
CUST305070,55,M,366,0.550241315,116731,0.952989612,7,03-08-2009 03:38,2599887850,8773615865,Pay with Tap,Dale,Moore,dale.moore@gilbert.net,112260
CUST476357,18,M,369,0.820913094,101452,0.730457742,44,07-09-2014 15:09,8237414025,4176911978,Bill Payments,Steven,Mullins,steven.mullins@gutierrez.net,112255
CUST469240,48,M,710,0.275750853,102107,0.105193188,12,29-07-2010 16:53,6924053509,9521513733,Easy Lock,Charles,Norris,charles.norris@morgan.org,112260
CUST768887,26,M,476,0.249354606,97241,0.254339713,30,14-03-2010 16:26,3910536420,5942038379,Bill Payments,Michael,Hall,michael.hall@garcia.com,112257
CUST675159,19,M,533,0.668205532,118184,0.259853154,27,24-07-2013 18:47,5381469000,9879851692,Bill Payments,James,Cunningham,james.cunningham@walker-becker.com,112263
CUST238356,59,F,719,0.592888237,97488,0.936552076,22,31-03-2019 23:40,3953047468,414839154,Zelle QR Code,Brooke,Andrews,brooke.andrews@jenkins-hanson.com,112260
CUST254353,22,M,363,0.712907943,113813,0.485279489,9,08-04-2010 20:09,1586755513,4924129724,Bill Payments,Robert,Hodge,robert.hodge@velasquez.com,112261
CUST472418,60,F,734,0.145351441,106442,0.324563934,95,18-01-2014 22:29,6365148239,7884609556,Help Center,Jenny,Jennings,jenny.jennings@rose.com,112260
CUST413923,20,M,538,0.201607454,93787,0.353742689,48,27-11-2019 22:31,6251637912,6924163176,Pay with Tap,Timothy,Harvey,timothy.harvey@sullivan.org,112261
CUST219645,38,M,771,0.923473252,92494,0.164530969,89,15-03-2015 04:16,1596449396,3348344054,Transaction Statements,Patrick,Bruce,patrick.bruce@henson.org,112264
CUST864555,61,F,361,0.627256314,103379,0.881469804,44,01-08-2015 15:52,5355925328,6794254077,Transfer Funds,Annette,Armstrong,annette.armstrong@stone-james.com,112259
CUST411524,26,M,761,0.3177563,93130,0.740426431,45,25-09-2014 07:31,6538109664,838155635,Zelle QR Code,Joe,Moyer,joe.moyer@anderson.net,112261
CUST290194,39,M,430,0.039839232,104527,0.93453869,95,09-02-2010 01:16,4384163077,7895540402,Zelle QR Code,Joseph,Bryant,joseph.bryant@ellis.org,112257
CUST350220,44,M,390,0.75665643,118578,0.039652398,97,07-06-2019 23:58,8313693973,1855275874,Bill Payments,Eddie,Walton,eddie.walton@cox.com,112257
CUST346042,30,M,338,0.758643321,114381,0.11968556,94,03-11-2015 19:47,4018370490,1423178513,Easy Lock,David,Romero,david.romero@jackson.info,112256
CUST973003,25,F,485,0.224472254,97098,0.451320726,85,03-05-2011 08:38,2424577587,82139079,Pay with Tap,Elizabeth,Hudson,elizabeth.hudson@mcmahon.com,112261
CUST220402,63,M,588,0.265891739,98649,0.549496792,42,19-05-2017 08:19,2706889691,9607922433,Customize Card,Sean,King,sean.king@dougherty.biz,112258
CUST807344,51,F,529,0.348811328,102014,0.907242616,34,24-12-2011 03:27,8340853718,6469636483,Zelle QR Code,Andrea,Perry,andrea.perry@reyes.com,112257
CUST745096,51,F,321,0.843449215,119039,0.107039155,85,27-07-2010 08:51,9128208966,9102704313,Customize Card,Lisa,Cochran,lisa.cochran@snyder.net,112256
CUST898043,25,M,300,0.816338561,103014,0.535929173,42,21-09-2010 05:09,8885750930,285609879,Bill Payments,Joshua,Walker,joshua.walker@crosby.com,112259
CUST689781,43,F,697,0.707839853,96666,0.676875864,65,03-01-2014 05:44,5650582702,3826592144,Transaction Statements,Shari,Maldonado,shari.maldonado@cline.com,112261
CUST316296,46,F,353,0.028170138,109881,0.753115214,17,06-07-2014 16:52,1222380877,310852864,Help Center,Regina,Robinson,regina.robinson@humphrey-brooks.com,112263
CUST850621,61,M,670,0.333138654,101096,0.563009756,99,18-08-2009 19:22,6900809895,1905070455,Bill Payments,Jacob,Miller,jacob.miller@mann-flores.org,112255
CUST537213,21,F,330,0.688019833,96310,0.554316587,86,11-01-2014 00:26,6970514612,838712666,Help Center,Bailey,West,bailey.west@valdez-blair.info,112260
CUST747474,28,M,726,0.806462144,98138,0.187297782,82,04-08-2016 06:42,5079889533,902683296,Zelle QR Code,Robert,Garcia,robert.garcia@pope-boyd.com,112260
CUST980139,56,F,529,0.40147786,104339,0.246527884,89,29-09-2019 22:03,8076849599,1717033463,Bill Payments,Donna,Parks,donna.parks@lopez.com,112257
CUST643840,28,M,704,0.066508866,91718,0.812562822,63,30-09-2010 07:45,7383644532,1478656333,Help Center,Todd,Sutton,todd.sutton@montes.com,112263
CUST954320,62,F,798,0.170071447,94001,0.007054344,93,13-10-2013 14:10,5439543919,586887852,Help Center,Lindsay,Powell,lindsay.powell@watts.com,112264
CUST388377,44,M,381,0.842740663,105427,0.207692254,50,25-04-2008 22:07,7656904514,3027846717,Customize Card,Cameron,Acevedo,cameron.acevedo@mitchell.com,112259
CUST649539,28,M,572,0.820138007,118143,0.916084338,73,08-06-2018 00:10,294808514,2220648471,Customize Card,Charles,Lopez,charles.lopez@sawyer.net,112260
CUST866407,35,M,517,0.378456619,93038,0.041013848,52,21-01-2011 12:31,531535048,9311063646,Transfer Funds,James,Reed,james.reed@scott.com,112255
CUST109556,32,F,326,0.202035355,118583,0.070292202,77,25-06-2011 10:23,9013110352,9637744261,Easy Lock,Christina,Wagner,christina.wagner@barnes-thomas.com,112260
CUST599158,49,F,536,0.766164838,112327,0.94405356,60,17-06-2014 19:17,2187561829,4892645220,Transaction Statements,Laurie,Cordova,laurie.cordova@davis.org,112258
CUST145949,18,M,773,0.400361059,107280,0.921138182,68,08-05-2008 21:05,7131443160,6932563950,Transfer Funds,Jeremiah,David,jeremiah.david@doyle-maldonado.net,112257
CUST784861,47,M,446,0.90049509,94198,0.094589264,28,24-05-2010 07:01,8961538686,5319850290,Transfer Funds,Brian,Merritt,brian.merritt@lopez.com,112257
CUST556443,21,F,429,0.708426381,96701,0.336032581,21,14-06-2019 03:25,5641883025,2035124705,Transaction Statements,Nicole,Drake,nicole.drake@palmer.org,112264
CUST660250,25,M,571,0.699796886,111803,0.514572618,37,06-02-2009 05:54,91294810,3938851918,Customize Card,Maxwell,Acosta,maxwell.acosta@chandler.com,112261
CUST8899,34,M,999,0.898367,222543,0.781265,58,25-11-2015 07:54,76542156,6976314351,Transfer Funds,Girish,Depu,girish.depu@incedoinc.com,112255
